,Age,type,gender,brand,Name,rating
133,22세,지성,여,스킨푸드,캐롯 카로틴 모이스트 이펙터,3
134,39세,지성,여,스킨푸드,캐롯 카로틴 모이스트 이펙터,3
135,34세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,5
136,24세,복합성,여,루트리,모비테라피 리페어 세럼,5
137,32세,복합성,여,비쉬,미네랄89 슈퍼 에너지 세럼,4
138,32세,복합성,여,바이위시트렌드,폴리페놀 인 프로폴리스 15% 앰플,5
139,32세,복합성,여,바이위시트렌드,쿼드 액티브 부스팅 에센스,5
140,22세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,4
141,40세,건성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,5
142,36세,건성,여,미샤,수퍼 아쿠아 울트라 히알론 스킨 에센스,5
143,36세,건성,여,미샤,타임 레볼루션 나이트 리페어 앰플 5X,5
144,28세,지성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,4
145,25세,건성,여,비달리,비건 히알루론산 순수 시카 세럼,5
146,29세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 이펙터 감초줄렌,4
147,22세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,4
148,21세,건성,여,토리든,다이브인 저분자 히알루론산 세럼,3
149,23세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,5
150,52세,건성,여,씨널스,씨트러스트 카밍 크림,5
151,27세,복합성,여,오아이브,턴오버 크림,4
152,32세,복합성,여,바이오힐 보,프로바이오덤 리프팅 크림 (탄탄크림),5
153,27세,복합성,여,오아이브,턴오버 크림,5
154,32세,복합성,여,시드물,센텔라시카 힐스크림,4
155,32세,복합성,여,시드물,흉터 케어 젤,4
156,32세,복합성,여,시드물,마다가스카르 리얼 수분크림,5
157,32세,건성,여,마몽드,블루 캐모마일 크림,5
158,28세,복합성,여,오아이브,턴오버 크림,5
159,20세,중성,여,애터미,아쿠아 수분 크림,3
160,31세,복합성,여,브링그린,사철쑥 카밍 리페어 크림,3
161,31세,복합성,여,브링그린,사철쑥 카밍 수분크림,5
162,21세,복합성,여,바이위시트렌드,프로 바이옴 밸런스 크림,4
163,26세,건성,여,밀크터치,서양송악 진정 크림,5
164,52세,중성,여,조성아22,탱글이 슈퍼베리 크림,5
165,22세,복합성,여,네이처리퍼블릭,그린더마 티트리 시카 수딩크림,5
166,27세,복합성,여,오아이브,턴오버 크림,4
167,31세,건성,여,메이크프렘,인테카 수딩 크림,5
168,34세,건성,여,W.피부연구소,시카플러스 리페어 크림,5
169,28세,중성,여,오아이브,턴오버 크림,5
170,31세,건성,여,비욘드,엔젤 아쿠아 세라마이드 크림,5
171,21세,지성,여,주미소,워터풀 히알루론산 크림,5
172,24세,복합성,여,루트리,모비테라피 에이지 리터닝 크림,5
173,24세,복합성,여,루트리,크립테라피 리뉴잉 크림,5
174,24세,복합성,여,루트리,피토그라운드 카밍 수분 크림,5
175,32세,복합성,여,바이위시트렌드,프로 바이옴 밸런스 크림,5
176,24세,지성,여,오아이브,턴오버 크림,4
177,31세,건성,여,피지오겔,데일리 모이스쳐 테라피 페이셜 크림,4
178,36세,건성,여,미샤,수퍼 아쿠아 울트라 히알론 크림,5
179,28세,건성,여,닥터지,레드 블레미쉬 시카 수딩 크림,4
180,19세,중성,여,닥터지,레드 블레미쉬 시카 수딩 크림,5
181,23세,복합성,여,아가씨,불사포마드 리페어 화이트닝,3
182,34세,건성,여,에스트라,아토베리어 365 크림,5
183,29세,건성,여,토코보,멀티 세라마이드 크림,4
184,27세,건성,여,메이크프렘,인테카 수딩 크림,4
185,26세,건성,여,메이크프렘,인테카 수딩 크림,5
186,28세,건성,여,에스트라,아토베리어 365 크림,5
187,28세,중성,여,오아이브,턴오버 크림,4
188,36세,민감성,여,주닥,인텐스 모이스트 B5 소프트 크림,5
189,26세,지성,여,오아이브,턴오버 크림,4
190,25세,복합성,여,스킨푸드,로열허니 프로폴리스 인리치 배리어 크림,3
191,36세,지성,여,스와니코코,울트라 펩타인 바이옴 아이크림,4
192,35세,복합성,여,오아이브,턴오버 크림,3
193,34세,건성,여,닥터지,레드 블레미쉬 시카 수딩 크림,5
194,32세,건성,여,센텔리안24,마데카크림 액티브 스킨 포뮬러,4
195,38세,건성,여,피지오겔,데일리 모이스쳐 테라피 페이셜 크림,4
196,27세,지성,여,클리덤,닥터락토 SOS 카밍 크림,5
197,43세,복합성,여,반데르피게,유황솔트크림,5
198,21세,복합성,여,아비브,부활초 크림 뉴트리션 튜브,4
199,25세,복합성,여,오아이브,턴오버 크림,4
200,25세,건성,여,달바,화이트 트러플 프리미엄 인텐시브 세럼,4
201,33세,복합성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
202,40세,건성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
203,26세,건성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
204,22세,복합성,여,달바,화이트 트러플 퍼스트 스프레이 세럼,5
205,31세,복합성,여,라로슈포제,오 떼르말 온천수 미스트,3
206,30세,복합성,여,한율,어린쑥 수분진정 미스트,3
207,28세,건성,여,에스트라,아토베리어 365 크림 미스트,4
208,35세,복합성,여,달바,화이트 트러플 퍼스트 스프레이 세럼,4
209,32세,복합성,여,달바,화이트 트러플 퍼스트 스프레이 세럼,5
210,30세,지성,여,라네즈,크림 스킨 미스트,3
211,18세,건성,여,바이오힐 보,판테놀 시카 배리어 크림 미스트,5
212,30세,건성,여,라네즈,크림 스킨 미스트,5
213,36세,복합성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
214,28세,복합성,여,비디비치,래디언스 로즈 미스트,5
215,33세,복합성,여,달바,화이트 트러플 리프레쉬 스킨 카밍 세럼,4
216,33세,복합성,여,달바,화이트 트러플 퍼스트 아로마틱 스프레이 세럼,4
217,33세,복합성,여,달바,화이트 트러플 바이탈 스프레이 세럼,4
218,31세,복합성,여,닥터자르트,시카페어 페이셜 카밍 미스트,5
219,29세,건성,여,시바산,메소 스프레이,5
220,30세,복합성,여,네이처리퍼블릭,수딩 앤 모이스처 알로에베라 92% 수딩젤 미스트,4
221,16세,복합성,여,바닐라코,미스 플라워 앤 미스터 허니 프로폴리스 리쥬비네이팅 앰플 미스트,4
222,31세,복합성,여,달바,화이트 트러플 프리미엄 인텐시브 세럼,5
223,46세,복합성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
224,26세,민감성,여,달바,화이트 트러플 바이탈 스프레이 세럼,5
225,24세,민감성,여,달바,화이트 트러플 프리미엄 인텐시브 세럼,5
226,26세,건성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
227,27세,건성,여,아벤느,오 떼르말,5
228,25세,건성,여,샤르드,86% 하와이 해양심층수 앰플 미스트,3
229,31세,복합성,여,홀리카홀리카,굳세라 수퍼 세라마이드 미스트,5
230,25세,복합성,여,달바,화이트 트러플 프리미엄 인텐시브 세럼,3
231,24세,중성,여,달바,화이트 트러플 퍼스트 스프레이 세럼,5
232,26세,민감성,여,달바,화이트 트러플 바이탈 스프레이 세럼,4
233,35세,복합성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너 미스트,5
234,48세,복합성,여,닥터앤코,워터풀 카밍 미스트,4
235,32세,건성,여,홀리카홀리카,굳세라 수퍼 세라마이드 미스트,5
236,24세,건성,여,인셀덤,발라또 오일 미스트,4
237,23세,중성,여,달바,화이트 트러플 퍼스트 아로마틱 스프레이 세럼,5
238,29세,복합성,여,프리메라,알파인 베리 워터리 크림 미스트,4
239,26세,복합성,여,달바,화이트 트러플 프리미엄 인텐시브 세럼,3
240,25세,민감성,여,유리아쥬,오 떼르말,4
241,27세,건성,여,바닐라코,미스 플라워 앤 미스터 허니 프로폴리스 리쥬비네이팅 앰플 미스트,5
